AA, (1, 20), (2, 23), (3, 23), (4, 18), (5, 19), (6, 28), (7, 20), (8, 18), (9, 11), (10, 9)
B6, (1, 14), (2, 22), (3, 20), (4, 16), (5, 13), (6, 25), (7, 27), (8, 28), (9, 13), (10, 8)
UA, (1, 25), (2, 22), (3, 18), (4, 17), (5, 17), (6, 28), (7, 21), (8, 18), (9, 12), (10, 8)
OH, (1, 14), (2, 20), (3, 20), (4, 14), (5, 13), (6, 23), (7, 24), (8, 21), (9, 13), (10, 8)
DL, (1, 11), (2, 13), (3, 16), (4, 14), (5, 9), (6, 15), (7, 22), (8, 14), (9, 8), (10, 10)
EV, (1, 15), (2, 20), (3, 21), (4, 16), (5, 9), (6, 14), (7, 24), (8, 17), (9, 10), (10, 12)
NW, (1, 15), (2, 19), (3, 17), (4, 14), (5, 12), (6, 20), (7, 12), (8, 9), (9, 7), (10, 6)
WN, (1, 13), (2, 16), (3, 13), (4, 9), (5, 10), (6, 14), (7, 11), (8, 9), (9, 5), (10, 5)
YV, (1, 20), (2, 24), (3, 15), (4, 17), (5, 14), (6, 23), (7, 19), (8, 15), (9, 14), (10, 12)
9E, (1, 18), (2, 21), (3, 17), (4, 11), (5, 8), (6, 12), (7, 9), (8, 6), (9, 5), (10, 6)
AQ, (1, 4), (2, 3)
CO, (1, 15), (2, 18), (3, 22), (4, 14), (5, 16), (6, 23), (7, 16), (8, 19), (9, 9), (10, 11)
FL, (1, 12), (2, 21), (3, 19), (4, 11), (5, 9), (6, 17), (7, 25), (8, 15), (9, 6), (10, 9)
F9, (1, 11), (2, 12), (3, 13), (4, 9), (5, 12), (6, 12), (7, 10), (8, 9), (9, 5), (10, 6)
HA, (1, 4), (2, 4), (3, 4), (4, 6), (5, 8), (6, 5), (7, 9), (8, 5), (9, 4), (10, 6)
XE, (1, 16), (2, 19), (3, 21), (4, 14), (5, 15), (6, 22), (7, 16), (8, 19), (9, 10), (10, 12)
AS, (1, 15), (2, 13), (3, 12), (4, 10), (5, 10), (6, 12), (7, 11), (8, 12), (9, 7), (10, 8)
MQ, (1, 21), (2, 23), (3, 19), (4, 15), (5, 14), (6, 21), (7, 15), (8, 12), (9, 9), (10, 8)
OO, (1, 23), (2, 18), (3, 13), (4, 9), (5, 9), (6, 14), (7, 12), (8, 9), (9, 8), (10, 7)
US, (1, 11), (2, 13), (3, 11), (4, 10), (5, 9), (6, 14), (7, 13), (8, 11), (9, 8), (10, 6)
